x1,x2,x3,prediction,Layer
993.809824173159,997.7708125108896,1991.5806366840484,1.0,Layer 2
1008.5210399001452,975.9929158124404,1984.5139557125856,1.0,Layer 2
964.3522682154844,994.2863406926411,1958.6386089081257,999.0,No Reaction
974.445332065296,941.9360100858904,1916.3813421511863,0.0,Layer 1
978.551609830436,979.7026948154128,1958.2543046458488,1.0,Layer 2
964.7253786680868,967.6225199805896,1932.3478986486768,0.0,Layer 1
977.3196881387136,981.1730270249136,1958.492715163627,1.0,Layer 2
999.5506928564182,956.2637657932228,1955.814458649641,1.0,Layer 2
955.7184118723555,971.570626241441,1927.2890381137968,0.0,Layer 1
976.4251497618712,978.6274319809849,1955.052581742856,1.0,Layer 2
996.5634651349212,968.9754106442496,1965.538875779171,1.0,Layer 2
993.9494948628012,980.699296877324,1974.648791740125,1.0,Layer 2
954.7206899181136,955.2905276667344,1910.011217584848,0.0,Layer 1
1016.9536263523904,994.541870894804,2011.4954972471944,1.0,Layer 2
975.024171907051,946.381360837406,1921.4055327444569,0.0,Layer 1
998.5040981746396,943.7573088373885,1942.261407012028,1.0,Layer 2
977.5895514215074,973.1056197327136,1950.695171154221,1.0,Layer 2
954.0937836498276,984.2977357843369,1938.3915194341644,0.0,Layer 1
956.2034786676802,996.9234350240264,1953.1269136917067,1.0,Layer 2
935.749341781099,973.5281055414048,1909.277447322504,0.0,Layer 1
978.1899906431436,977.9647131544036,1956.1547037975472,1.0,Layer 2
989.6948145453728,986.1670527802368,1975.8618673256096,1.0,Layer 2
976.928006939358,981.4266938595696,1958.354700798928,1.0,Layer 2
990.4158112261146,1008.3374113271929,1998.7532225533075,999.0,No Reaction
983.2804768127768,961.4493180518284,1944.729794864605,0.0,Layer 1
1001.5924897435508,997.8805134439012,1999.473003187452,1.0,Layer 2
974.337960121174,1009.0339723583152,1983.3719324794893,999.0,No Reaction
1014.7104245046094,1011.9826588741912,2026.6930833788008,1.0,Layer 2
968.5112750167392,983.0394931096656,1951.5507681264048,1.0,Layer 2
965.9870338892624,974.546166163719,1940.5332000529816,0.0,Layer 1
994.925965280792,996.4296273038292,1991.3555925846213,1.0,Layer 2
967.6677063999516,969.6339905396268,1937.3016969395785,0.0,Layer 1
988.4285823762546,989.1669587074032,1977.5955410836575,1.0,Layer 2
975.600525471185,946.1013994151646,1921.7019248863496,0.0,Layer 1
979.2788552736444,983.949904287072,1963.2287595607163,1.0,Layer 2
989.8445999169488,993.2274584668291,1983.0720583837776,1.0,Layer 2
993.1055639298664,961.51893812204,1954.6245020519063,1.0,Layer 2
967.883906947943,977.7028997510512,1945.5868066989945,0.0,Layer 1
980.5362076350488,961.4683530867632,1942.004560721812,0.0,Layer 1
970.5153766808872,945.1460412377588,1915.661417918646,0.0,Layer 1
997.1207007605036,939.9397925871756,1937.0604933476789,0.0,Layer 1
987.714526445274,994.1840195021258,1981.8985459474,1.0,Layer 2
984.3371858065052,933.8516136460564,1918.1887994525616,0.0,Layer 1
973.6325897397712,959.0687010590536,1932.7012907988249,0.0,Layer 1
996.189684129148,980.4510610191402,1976.6407451482885,1.0,Layer 2
986.728665419416,1033.137475734033,2019.866141153449,999.0,No Reaction
978.8503343943014,973.8834256022257,1952.7337599965272,1.0,Layer 2
973.0486893803712,942.719527055135,1915.7682164355065,0.0,Layer 1
947.4613085779728,932.2965564542905,1879.757865032263,0.0,Layer 1
951.0835041915176,958.3779413987664,1909.461445590284,0.0,Layer 1
962.641374578789,968.8809753930954,1931.5223499718843,0.0,Layer 1
975.9492057776578,972.5229574325112,1948.472163210169,0.0,Layer 1
1009.9754372693418,944.7956046855854,1954.7710419549271,1.0,Layer 2
999.5238544757664,1002.1936037506948,2001.717458226461,999.0,No Reaction
981.724822359737,977.1881387085606,1958.9129610682976,1.0,Layer 2
952.6540222926008,958.651549145158,1911.305571437759,0.0,Layer 1
1006.2369963210516,972.290519667661,1978.5275159887124,1.0,Layer 2
979.5231451593028,947.9892534440093,1927.512398603312,0.0,Layer 1
1006.7171441193389,965.5488308589876,1972.2659749783263,0.0,Layer 1
989.8806275539574,1002.0502054567014,1991.9308330106587,999.0,No Reaction
992.8180166397796,973.4769166810278,1966.294933320808,1.0,Layer 2
978.6738790060806,956.4035398562062,1935.0774188622868,0.0,Layer 1
946.3003441417478,994.8532111601936,1941.1535553019417,1.0,Layer 2
997.224919082554,925.5813965887876,1922.8063156713413,0.0,Layer 1
952.5835986800292,994.1856853207744,1946.7692840008035,1.0,Layer 2
984.8279699787636,945.7161624151888,1930.5441323939529,0.0,Layer 1
980.4025542248193,979.2627189111834,1959.6652731360025,1.0,Layer 2
981.2439992102014,1001.0675485659071,1982.3115477761085,999.0,No Reaction
954.2113742308476,980.3705101948126,1934.58188442566,0.0,Layer 1
1007.9195896157617,985.7366325902082,1993.6562222059697,1.0,Layer 2
960.0990590429212,958.2220918315296,1918.3211508744507,0.0,Layer 1
964.9010487512654,1034.8998750771443,1999.8009238284096,999.0,No Reaction
980.234905653138,960.8219618637656,1941.056867516904,0.0,Layer 1
1000.3597321866538,983.2879932377832,1983.647725424437,1.0,Layer 2
990.5346400051824,994.2629788451864,1984.7976188503687,1.0,Layer 2
954.7244396813392,987.92987587403,1942.6543155553693,0.0,Layer 1
993.85900026385,986.258381055024,1980.117381318874,1.0,Layer 2
988.5381050121388,1006.6344734523366,1995.1725784644757,999.0,No Reaction
967.7571293404131,977.9430132408814,1945.7001425812944,0.0,Layer 1
998.0994190871136,959.6166131312448,1957.716032218358,1.0,Layer 2
976.9974014790336,969.4780079842872,1946.4754094633208,0.0,Layer 1
959.7211761965452,982.5313835082336,1942.2525597047788,0.0,Layer 1
977.3219070609532,968.8704098409054,1946.1923169018585,0.0,Layer 1
970.3280388083756,1006.9086491509024,1977.236687959278,999.0,No Reaction
975.8681420632668,996.520673935982,1972.388815999249,999.0,No Reaction
995.9982559132072,997.4068915020648,1993.405147415272,1.0,Layer 2
961.6768647613228,958.3771610395496,1920.0540258008728,0.0,Layer 1
961.6211855766736,993.290111149826,1954.9112967265,999.0,No Reaction
987.8244995199734,967.1047975094784,1954.929297029452,1.0,Layer 2
966.5494280015308,956.38312653709,1922.932554538621,0.0,Layer 1
986.164640481316,956.7067530871108,1942.8713935684268,0.0,Layer 1
978.7745373521047,961.132084376132,1939.9066217282368,0.0,Layer 1
961.3134087805726,968.3709697161836,1929.6843784967564,0.0,Layer 1
988.714541201739,979.8067735783856,1968.5213147801248,1.0,Layer 2
977.967351359392,977.0465763584726,1955.0139277178648,1.0,Layer 2
993.3008910034098,1020.8173272029984,2014.1182182064083,999.0,No Reaction
942.4755483092404,965.9399442446183,1908.4154925538587,0.0,Layer 1
944.9579113034692,972.8602560402612,1917.8181673437305,0.0,Layer 1
971.0244444234778,954.6683480171808,1925.6927924406584,0.0,Layer 1
967.4499051975408,944.8429482989404,1912.2928534964813,0.0,Layer 1
950.9274535639702,969.5905242218734,1920.5179777858436,0.0,Layer 1
956.2082864638006,962.8986706222666,1919.1069570860675,0.0,Layer 1
988.1654376142249,960.2836487997828,1948.4490864140075,0.0,Layer 1
1001.5237628829708,986.885087740573,1988.408850623544,1.0,Layer 2
1005.829234044398,987.7025298682498,1993.531763912648,1.0,Layer 2
974.3563922526092,968.0608805098594,1942.4172727624689,0.0,Layer 1
965.3982571623123,970.0316282447504,1935.4298854070628,0.0,Layer 1
998.8603158548398,1007.3161241835452,2006.176440038385,999.0,No Reaction
976.1464291934972,966.6309586874391,1942.7773878809369,0.0,Layer 1
974.0819422154632,1002.373881200864,1976.455823416327,999.0,No Reaction
970.2591849668148,952.303585387866,1922.5627703546809,0.0,Layer 1
974.9482725703105,989.5377329643248,1964.4860055346355,1.0,Layer 2
972.082832185936,988.6399718102144,1960.7228039961503,1.0,Layer 2
967.1567577044182,1000.4167025469368,1967.5734602513548,999.0,No Reaction
985.4943320372912,997.5759969175958,1983.0703289548871,999.0,No Reaction
983.718948445958,984.4166142921972,1968.135562738155,1.0,Layer 2
1003.875432175759,983.6759894843948,1987.551421660154,1.0,Layer 2
951.3865064638104,977.5789370595926,1928.965443523403,0.0,Layer 1
981.1859769211188,969.5533474308244,1950.739324351943,1.0,Layer 2
948.9928737114508,968.9130367795402,1917.9059104909911,0.0,Layer 1
971.654863679629,944.123115250674,1915.7779789303029,0.0,Layer 1
973.7638602424051,1001.9047169554832,1975.668577197888,999.0,No Reaction
1007.5255055174216,978.9401252781328,1986.4656307955545,1.0,Layer 2
996.1198425865872,999.807494379186,1995.927336965773,1.0,Layer 2
985.3296238516824,946.4818183266052,1931.8114421782875,0.0,Layer 1
980.8128273663324,961.4552932291468,1942.268120595479,0.0,Layer 1
969.112711809644,977.2372277061288,1946.3499395157728,0.0,Layer 1
1016.7977608642218,979.4272814597008,1996.2250423239227,1.0,Layer 2
961.4929536873024,987.9237283659444,1949.4166820532464,999.0,No Reaction
958.192507634626,972.2031091309152,1930.395616765541,0.0,Layer 1
958.2596311274964,998.9978594023564,1957.2574905298527,999.0,No Reaction
992.0443577052692,949.2724578502994,1941.3168155555688,0.0,Layer 1
974.1959435406472,950.3938339156052,1924.589777456252,0.0,Layer 1
965.5883035732772,991.254801974456,1956.843105547733,999.0,No Reaction
1000.9399888857192,979.21438679882,1980.1543756845392,1.0,Layer 2
961.4191018363643,976.2263475753476,1937.645449411712,0.0,Layer 1
991.7506066782043,970.8205287744202,1962.5711354526245,1.0,Layer 2
999.4222776202924,930.8970003427928,1930.3192779630847,0.0,Layer 1
988.349319647297,977.124988126557,1965.474307773854,1.0,Layer 2
978.5514839024625,990.4564367072784,1969.0079206097407,1.0,Layer 2
984.4629769826096,956.1873962215552,1940.650373204165,0.0,Layer 1
989.2425043950634,959.8559577838608,1949.098462178924,0.0,Layer 1
958.0006594294304,975.9306904402804,1933.9313498697104,0.0,Layer 1
958.6218376614388,987.9133884541608,1946.5352261155997,999.0,No Reaction
987.5794865687698,974.5523155269176,1962.1318020956876,1.0,Layer 2
976.4768439354772,999.8192937112904,1976.2961376467676,999.0,No Reaction
971.6747492616048,969.278124732953,1940.9528739945576,0.0,Layer 1
995.4439832441478,985.6118026062308,1981.0557858503785,1.0,Layer 2
1015.3288121656152,993.029738694808,2008.3585508604235,1.0,Layer 2
959.437725034987,993.0155844126132,1952.4533094476,999.0,No Reaction
964.8511740924592,968.3420924814608,1933.19326657392,0.0,Layer 1
966.1027866928378,967.93898110424,1934.0417677970777,0.0,Layer 1
982.8510646821755,989.4274492113856,1972.2785138935608,1.0,Layer 2
998.7680113554884,967.8429158811136,1966.6109272366016,1.0,Layer 2
974.0035913306384,994.8001128868012,1968.80370421744,999.0,No Reaction
988.170654779416,959.299102988238,1947.469757767654,0.0,Layer 1
980.6078420261024,973.4903949651896,1954.098236991292,1.0,Layer 2
971.6957667196376,962.5352167341164,1934.230983453754,0.0,Layer 1
992.2604710961714,1015.0975853655882,2007.35805646176,999.0,No Reaction
976.2871304749752,924.310998061948,1900.5981285369232,0.0,Layer 1
984.9173955257446,1031.3337313026973,2016.251126828442,999.0,No Reaction
977.244159859596,966.7182600778808,1943.962419937477,0.0,Layer 1
942.0395133814023,967.842219238382,1909.8817326197843,0.0,Layer 1
975.7852451999868,974.8649118319468,1950.6501570319333,1.0,Layer 2
964.0434474171932,951.5421272526652,1915.5855746698585,0.0,Layer 1
957.591641150377,938.7398251904513,1896.331466340828,0.0,Layer 1
1014.9061456413788,984.4874894822558,1999.3936351236343,1.0,Layer 2
971.7442406456988,992.6399310647536,1964.3841717104524,999.0,No Reaction
968.936546703089,957.6724698297452,1926.6090165328344,0.0,Layer 1
979.9911555694227,1003.852603518204,1983.843759087627,999.0,No Reaction
973.271438672033,955.2778964693096,1928.5493351413425,0.0,Layer 1
983.2704406302446,1011.5594408192532,1994.8298814494976,999.0,No Reaction
977.4653737456204,988.7525351518616,1966.217908897482,1.0,Layer 2
993.0934745429092,987.1663415296651,1980.2598160725747,1.0,Layer 2
988.3500781699272,999.5280418366456,1987.8781200065728,999.0,No Reaction
984.4348382656108,997.9909482017948,1982.425786467406,999.0,No Reaction
1003.6304216794928,952.1596141300136,1955.7900358095064,0.0,Layer 1
956.6813186547046,1000.0841546858426,1956.765473340547,1.0,Layer 2
964.5270536520704,954.3680295764,1918.8950832284704,0.0,Layer 1
1002.9841002178474,958.7586202888292,1961.7427205066765,1.0,Layer 2
987.1448249386068,946.6107668746872,1933.755591813294,0.0,Layer 1
994.2438065980932,974.4188202711674,1968.6626268692607,1.0,Layer 2
